"","TC_Data3.Date","TC_Impressions","TC_Clicks","TC_Cost","TC_AvgPos","TC_Conversions","TC_Revenue"
"80","7/31/2015","2163779","41243","122819.0794","1.285484622",5661,164551.2299
"81","8/1/2015","2121388","34505","98649.56937","1.205411019",5018,138283.3897
"82","8/2/2015","2151228","33028","99617.7304","1.212989499",4892,126970.2285
"83","8/3/2015","2542856","46500","141657.1005","1.274553855",6440,218652.5638
"84","8/4/2015","2127292","43786","137986.1297","1.348632039",6624,238357.1964
"85","8/5/2015","2072422","42729","137087.3621","1.326554149",6686,240930.295
"86","8/6/2015","2048156","43468","135116.44","1.304967144",6674,247881.0697
"87","8/7/2015","2346967","41869","120566.3691","1.251782492",5884,222218.3521
"88","8/8/2015","2398980","35493","102608.0709","1.203700756",5189,163672.6968
"89","8/9/2015","2604767","34104","102418.3702","1.203490608",5420,176190.8991
"90","8/10/2015","2867436","45675","139776.85","1.24450791",6894,243662.1506
"91","8/11/2015","2903840","45915","141101.7604","1.297496894",7027,252065.5836
"92","8/12/2015","2743705","44928","134848.9904","1.269060317",7016,228834.3336
"93","8/13/2015","2576005","45431","132770.5489","1.260286288",6807,236260.7173
"94","8/14/2015","2017869","42761","121764.5117","1.285068647",6034,194367.0078
"95","8/15/2015","1801062","33939","98536.18003","1.251773289",5184,142001.9435
"96","8/16/2015","2074545","33000","99872.0795","1.233109175",5362,124643.968
"97","8/17/2015","2252507","48527","139968.9391","1.292208137",6951,232358.1006
"98","8/18/2015","2068284","44777","138337.2898","1.325020165",7185,234557.6138
"99","8/19/2015","2154167","43977","134605.7007","1.305577971",7254,222743.4458
"100","8/20/2015","2249106","42499","127377.101","1.275530612",6684,206539.1616
"101","8/21/2015","2187244","40652","119945.7311","1.25533498",5910,195899.5896
"102","8/22/2015","2104218","33029","96175.22968","1.272634155",5423,140479.7861
"103","8/23/2015","2401561","32165","99987.87007","1.22895689",5516,163705.2665
"104","8/24/2015","2487020","42804","134102.6591","1.302013243",6838,214688.0213
"105","8/25/2015","2331757","41691","132750.33","1.304167905",6830,224951.2535
"106","8/26/2015","2054464","38827","125640.3901","1.297901166",6387,218754.6208
"107","8/27/2015","1968596","40139","119214.389","1.319518877",6043,195014.2741
"108","8/28/2015","1944247","39581","113213.3287","1.295220663",5454,185986.4256
"109","8/29/2015","1925999","33132","97102.74992","1.251303739",5016,151295.8556
